username,trust_level,topics_entered,time_read,days_visited,posts_read_count,likes_given,likes_received,new_since,post_count,topic_count,user_custom_field,like_count,score,reads,word_count,image_upload_id,topic,category,category_description,tag,given_date,post,archetype
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",engine-containers,2022-07-28,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",gradle,2022-12-16,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",git,2022-09-19,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
ddurango,4,59,8999,65,119,9,12,2022-07-19 13:45:13.649354,13,6,Bancolombia,0,8.8,44,87,,Acerca de la categoría Galatea,Galatea,,kubernetes,2022-11-15,"(Sustituye este párrafo con una descripción corta de tu nueva categoría. Este texto aparecerá en el área de selección de categoría, así que intenta que no supere los 200 caracteres.)

Utiliza los siguientes párrafos para una descripción más detallada, o establece las directrices o reglas de la categoría::

- ¿Para qué la gente debería usar esta categoría? ¿Para qué se usa?

- ¿Exactamente cómo se distingue de las otras categorías ya existentes?

- ¿Qué temas debería contener esta categoría normalmente?

- ¿Necesitamos esta categoría? ¿Podría fusionarse con otra categoría o subcategoría?",regular
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",mq,2022-08-09,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
ddurango,4,59,8999,65,119,9,12,2022-07-19 13:45:13.649354,13,6,Otro,0,8.8,44,87,,Acerca de la categoría Galatea,Galatea,,kubernetes,2022-12-14,"(Sustituye este párrafo con una descripción corta de tu nueva categoría. Este texto aparecerá en el área de selección de categoría, así que intenta que no supere los 200 caracteres.)

Utiliza los siguientes párrafos para una descripción más detallada, o establece las directrices o reglas de la categoría::

- ¿Para qué la gente debería usar esta categoría? ¿Para qué se usa?

- ¿Exactamente cómo se distingue de las otras categorías ya existentes?

- ¿Qué temas debería contener esta categoría normalmente?

- ¿Necesitamos esta categoría? ¿Podría fusionarse con otra categoría o subcategoría?",regular
ddurango,4,59,8999,65,119,9,12,2022-07-19 13:45:13.649354,13,6,Galatea,0,8.8,44,87,,Acerca de la categoría Galatea,Galatea,,widgets,2022-07-25,"(Sustituye este párrafo con una descripción corta de tu nueva categoría. Este texto aparecerá en el área de selección de categoría, así que intenta que no supere los 200 caracteres.)

Utiliza los siguientes párrafos para una descripción más detallada, o establece las directrices o reglas de la categoría::

- ¿Para qué la gente debería usar esta categoría? ¿Para qué se usa?

- ¿Exactamente cómo se distingue de las otras categorías ya existentes?

- ¿Qué temas debería contener esta categoría normalmente?

- ¿Necesitamos esta categoría? ¿Podría fusionarse con otra categoría o subcategoría?",regular
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",npm,2022-09-29,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",headers,2022-08-17,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",security-processes,2023-02-02,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",cloudformation,2022-08-24,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",aws,2022-08-20,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",plexo,2023-02-07,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
yvarela,4,520,81584,168,1259,71,61,2022-07-19 15:51:12.780824,27,20,Bancolombia,3,73.8,94,107,,Acerca de la categoría DevSecOps,DevSecOps,"Te invitamos a contribuir al proceso <strong>DevSecOps</strong>  de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.",engine-apis,2023-03-10,"Te invitamos a contribuir al proceso **DevSecOps** :bancolombia_logo: de la organización y que lo adoptes como mecanismo para prevenir vulnerabilidades, identificar riesgos y mitigar amenazas para la organización.

En esta la categoría  interactúas con diferentes actores de **[LDC SEGURIDAD DE TI DEVSECOPS](https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnolog%C3%ADa.wiki/39365/Seguridad-de-TI-DevSecOps)**; con tu ayuda construimos  una amplia base de conocimiento en desarrollo seguro de software; para promover la privacidad de la información y que juntos desarrollemos software seguro para nuestros clientes. 



Si deseas contactarnos puedes escribirnos a devsecops@bancolombia.com.co :bancolombia_love:",regular
